ville_nom,ville_code_postal,ville_population_2012,ville_longitude_deg,ville_latitude_deg
BAGNOLS-SUR-CEZE,30200,18500,4.61667,44.1667
GUJAN-MESTRAS,33470,18500,-1.06667,44.6333
ALBERTVILLE,73200,18500,6.38333,45.6833
MITRY-MORY,77290,18500,2.61667,48.9833
LE PLESSIS-TREVISE,94420,18500,2.56667,48.8167
VILLENEUVE-LE-ROI,94290,18500,2.41667,48.7333
BOURG-LES-VALENCE,26500,18400,4.88333,44.95
COUERON,44220,18400,-1.73333,47.2167
CHILLY-MAZARIN,91380,18400,2.3,48.7
SAINTE-MARIE,97230,18389,14.7604,-61.0111
RONCHIN,59790,18300,3.1,50.6
CHALLANS,85300,18300,-1.88333,46.85
LOUVIERS,27400,18200,1.16667,49.2167
PLOEMEUR,56270,18200,-3.43333,47.7333
SORGUES,84700,18200,4.86667,44
GARCHES,92380,18200,2.18333,48.8417
LONS-LE-SAUNIER,39570,18100,5.55,46.6667
CHAVILLE,92370,18100,2.2,48.8
ECULLY,69130,18000,4.76667,45.7667
CLUSES,74300,18000,6.6,46.0667
MARMANDE,47200,17900,0.166667,44.5
SEYNOD,74600,17900,6.08333,45.8833
RIOM,63200,17800,3.11667,45.9
HEM,59510,17700,3.2,50.65
BISCHHEIM,67800,17700,7.75,48.6167
CHENNEVIERES-SUR-MARNE,94430,17700,2.51667,48.8
AVION,62210,17600,2.83333,50.4
SAINT-CYR-L'ECOLE,78210,17600,2.06667,48.8
LE PRE-SAINT-GERVAIS,93310,17600,2.4,48.8833
FIRMINY,42700,17500,4.3,45.3833
ROMORANTIN-LANTHENAY,41200,17400,1.74361,47.3589
CARQUEFOU,44470,17400,-1.5,47.3
EQUEURDREVILLE-HAINNEVILLE,50120,17400,0.345279,49.6484
CARVIN,62220,17400,2.96667,50.4833
JOINVILLE-LE-PONT,94340,17400,2.46667,48.8167
GENTILLY,94250,17400,2.33333,48.8167
SOISY-SOUS-MONTMORENCY,95230,17400,2.3,48.9833
DIGNE-LES-BAINS,4000,17300,6.23639,44.0933
ANNONAY,7100,17200,4.66667,45.2333
PORT-DE-BOUC,13110,17200,4.98333,43.4
MEYLAN,38240,17200,5.78333,45.2333
ELBEUF,76500,17200,1,49.2833
MOISSY-CRAMAYEL,77550,17200,2.6,48.6167
